Year,TM,real_team_id,PITCHERS,IP,SO_v_l,BB_v_l,HIT_v_l,OB_v_l,TB_v_l,HR_v_l,BP_v_l,DP_v_l,SO_v_r,BB_v_r,HIT_v_r,OB_v_r,TB_v_r,HR_v_r,BP_v_r,DP_v_r,HO,ENDURANCE,FIELD,BK,WP,BAT_B,STL,SPD,rml_team_id
2015,MMN,16,"Capps,C",31,62,3,3.9,6.9,5.7,0.6,1,2,57,8,3.2,11.2,5.5,0.8,1,3,9,R(1),'3- 0,0,16,3WR-D,E,10,9
2015,TOT,1,"Carpenter,D",25,25,7,22,29,38.3,0,0,5,4,11,18.1,29.1,37.7,4.3,7,4,1,R(1),'3-51,0,8,1WR-C,E,10,25
2015,CLA,9,"Carrasco,C",184,41,6,11.7,17.7,24.5,2.4,3,10,44,4,18.1,22.1,28.8,0.8,1,5,3,S(6),'3- 0,0,6,3WR-B,E,10,1
2015,SDN,24,"Cashner,A",185,21,18,19,37,38.8,3,4,3,25,3,21.8,24.8,26.9,0,0,6,1,S(6),'3- 8,0,3,1WR-D,E,15,9
2015,SFN,25,"Casilla,S",58,30,14,17,31,38.5,4,8,3,33,9,12.6,21.6,12.6,0,0,6,4,R(1) C(6),'2- 0,0,3,1WR-C,E,10,14
2015,TOA,30,"Cecil,B*",54,55,3,9.6,12.6,20.5,0.4,0,4,44,2,8.1,10.1,17.4,1.4,1,5,-1,R(1) C(2),'4-27,0,18,1WR-C,E,10,24
2015,TOT,1,"Cedeno,X*",46,27,2,10.1,12.1,10.8,0.2,0,10,31,11,20.9,31.9,28.7,2.6,4,2,0,R(1) C(0),'3-31,0,20,1WL-C,E,10,23
2015,ARN,2,"Chafin,A*",75,18,10,5.3,15.3,9.9,0,0,2,19,9,13,22,21.8,0,0,2,-4,R(2) C(1),'3-20,0,5,1WR-C,E,10,2
2015,TOT,1,"Chamberlain,J",28,14,0,41.4,41.4,83.7,11.7,8,6,19,16,25,41,45.9,0.2,0,8,-2,R(1),'2- 0,0,15,1WR-C,E,10,25
2015,CIN,8,"Chapman,A*",66,54,24,0,24,0,0,0*,0,50,15,7,22,7,0,0,0,5,R(1) C(6),'4- 0,0,20,1WL-C,E,10,24
2015,OAA,21,"Chavez,J",157,18,4,24.1,28.1,41.5,3.2,7,4,27,10,14,24,15.8,0,0,3,0,S(6) R(3) C(0),'3-18,0,3,3WR-B,E,10,17
2015,BAA,4,"Chen,W*",191,14,0,15.3,15.3,24.1,1.2,0,7,23,4,20.6,24.6,41.6,3.2,5,8,-1,S(6),'3-15,0,3,1WL-C,E,10,5
2015,STN,27,"Choate,R*",27,20,0,22.5,22.5,28.4,1.8,3,11,14,11,32.8,43.8,46.3,0,0,10,-1,R(1) C(0),'4- 0,0,7,1WL-C,E,10,25
2015,CIN,8,"Cingrani,T*",33,30,18,20,38,48.5,3.4,3,0,31,28,12.9,40.9,24.7,0.1,0,0,-3,R(1),'3- 0,11,12,1WL-D,E,13,6
2015,TOT,1,"Cishek,S",55,19,25,13.1,38.1,22.2,0,0,9,22,7,22.6,29.6,31.5,1.4,2,8,7,R(1) C(2),'3-51,0,3,1WR-C,E,10,12
2015,TOT,1,"Clippard,T",71,25,12,0.3,12.3,0.9,0.2,0*,0,25,15,10.2,25.2,25.3,3.4,5*,0,4,R(1) C(4),'3- 0,0,19,1WR-C,E,10,1
2015,PIN,23,"Cole,G",208,34,4,12.8,16.8,14.4,0,0,12,29,3,19.3,22.3,25.7,0.4,0,12,6,S(7*),'1- 0,0,7,2WR-C,E,10,24
2015,ARN,2,"Collmenter,J",121,1,0,23.4,23.4,39.2,2,2,5,8,6,23,29,47.3,4.1,7,5,-4,S(6) R(3) C(0),'2- 0,0,1,3WR-C,E,10,20
2015,TBA,28,"Colome,A",110,18,10,23.8,33.8,30.2,0.4,0,4,26,0,23.3,23.3,26.9,1.2,2,4,-1,S(5) R(3),'3- 0,0,16,1WR-C,E,10,20
2015,NYN,20,"Colon,B",195,14,0,23.3,23.3,33.3,1.6,2,5,14,0,20.5,20.5,36.4,2.8,5,4,-4,S(6) R(3),'3-23,0,0,2WR-D,E,10,6
2015,MMN,16,"Conley,A*",67,25,14,19.6,33.6,27.4,2.6,4,8,23,6,21,27,35.7,1.8,3,9,0,S(5) R(3),'2- 0,0,0,2WL-A,E,10,5
2015,ARN,2,"Corbin,P*",85,35,3,12.4,15.5,24.9,0.8,0,8,21,2,26.3,28.3,44.5,2.2,3,6,-4,S(6),'2-17,0,10,1WL-D,E,12,12
2015,MMN,16,"Cosart,J",70,19,16,11.9,27.9,25.6,0.8,2,6,5,16,17.8,33.8,37.8,5,8,5,-2,S(5),'2- 0,0,20,1WR-B,E,12,14
2015,TOT,1,"Cotts,N*",63,29,4,6.3,10.3,16.5,3.4,5,4,22,11,15.9,27,33,4.5,7,6,7,R(1),'4- 0,0,6,1WL-C,E,10,9
2015,CLA,9,"Crockett,K*",18,18,11,18.5,29.5,23.5,0,0,16,27,19,17.6,36.6,31,3.2,6,3,-1,R(1),'4- 0,0,0,1WL-C,E,10,25
2015,TOT,1,"Cueto,J",212,30,4,12.4,16.4,20.9,1,0,6,15,3,21.5,24.5,35.8,2.2,4,6,-3,S(7*),'2- 0,8,0,2WR-A,E,13,18
2015,ATN,3,"Cunniff,B",35,23,19,18.5,37.5,25,1,1,4,34,23,4.5,27.5,12.1,2.2,4*,2,-2,R(1),'4-40,0,6,1WR-C,E,10,25
2015,CHA,6,"Danks,J*",178,12,3,12.8,15.8,31.5,3.6,7,4,14,9,22.7,31.7,39,1.8,2,4,-2,S(6),'3-24,2,9,1WL-C,E,10,7
2015,KCA,13,"Davis,W",67,44,11,1,12,3,0,0*,7,49,5,0.7,5.7,1.6,0,0*,7,4,R(1) C(5),'4-22,0,3,1WR-C,E,10,10
2015,PHN,22,"De Fratus,J",80,17,14,15.4,29.3,27.3,1,1,0,22,9,31,40,50.4,2.2,2,1,0,R(2),'4-36,0,18,3WS-C,E,10,25
2015,CON,10,"De La Rosa,J*",149,36,9,15.5,24.5,27.1,1.4,2,8,20,15,14.4,29.4,30.1,2.2,2,11,0,S(6) C(0),'2- 0,5,8,1WL-C,E,12,19
2015,ARN,2,"De La Rosa,R",189,11,11,25.7,36.7,49.1,3.8,7,6,26,6,10.4,16.4,18.4,2.4,4,7,-1,S(6) C(0),'3- 0,4,1,1WR-C,E,12,23
2015,NYN,20,"Degrom,J",191,37,1,13.6,14.6,21.7,2.2,3,1,38,5,3.7,8.7,5.3,0,0,1,-3,S(6),'1- 0,0,7,3WL-C,E,12,5
2015,TOA,30,"Delabar,S",29,38,17,8.9,25.9,30.2,6.4,8,0,18,13,20.4,33.4,39.6,0.2,0,0,-1,R(1) C(0),'4- 0,0,20,1WR-C,E,10,25
2015,ARN,2,"Delgado,R",72,30,24,13,37.1,16.9,0,0,5,29,9,12.1,21.1,25.5,2.8,4,7,0,R(2) C(0),'3- 0,0,20,1WR-B,E,12,2
2015,CIN,8,"Desclafani,A",185,22,11,20.5,31.5,35,2,2,11,18,1,28,29,36.8,0.6,0,11,2,S(6),'3-16,0,7,2WR-C,E,10,4
2015,SDN,24,"Despaigne,O",126,2,5,21.5,26.5,37.5,0.8,1,5,9,3,25,28,41.7,4,8,5,-3,S(6) R(3),'2- 0,0,12,1WR-B,E,10,5
2015,TOT,1,"Detwiler,R*",58,28,13,18.8,31.8,22.7,0.2,0,3,1,22,35.9,57.8,61.5,4,7,3,-2,S(5) R(3),'3- 0,0,9,1WR-C,E,10,25
2015,CIN,8,"Diaz,J",60,29,8,17,25,36.3,3.2,2,0,44,3,20.3,23.3,37.3,3.2,5,0,1,R(1) C(0),'4- 0,6,18,1WR-C,E,10,5
2015,TOA,30,"Dickey,R",214,4,8,13.2,21.2,23.8,1.4,2,9,15,7,20.6,27.6,36.2,2.4,2,9,-1,S(6*),'2- 0,4,9,1WR-B,E,13,12
2015,TOT,1,"Diekman,J*",58,25,18,12.2,30.1,17.9,1.4,1,3,40,17,12.7,29.7,24.7,1.2,0,2,0,R(1),'4-24,0,7,1WL-C,E,10,25
2015,TOT,1,"Doubront,F*",75,35,7,14.2,21.2,15.4,0.4,0,4,9,10,27.8,37.8,46.5,2.6,5,8,4,S(5) R(4) C(0),'2- 0,0,8,1WL-C,E,10,27
2015,MNA,18,"Duensing,B*",49,8,16,22.6,38.6,32.5,0,0,10,2,8,10.1,18.1,24.1,3.2,6,10,7,R(1) C(0),'3-30,0,13,1WL-C,E,10,25
2015,MNA,18,"Duffey,T",58,39,11,12,23,14.2,0,0,10,14,10,11.2,21.2,25.2,1.6,2,14,-4,S(6),'4-24,0,3,1WR-C,E,10,17
2015,KCA,13,"Duffy,D*",137,22,5,19.4,24.4,26.6,0,0,9,15,13,20.2,33.2,31.1,2.4,4,8,0,S(5) R(3) C(0),'4-31,0,18,1WL-C,E,10,2
2015,CHA,6,"Duke,Z*",61,41,23,2.5,25.5,10.2,2.5,3*,8,33,12,10.6,22.5,29.8,3.2,5*,15,-1,R(1) C(0),'4-24,0,0,1WL-C,E,10,16
2015,MMN,16,"Dunn,M*",54,35,18,14.3,32.3,23,0.2,0,0,36,18,10.4,28.4,26.7,3.2,7,0,0,R(1) C(0),'4- 0,0,7,3WL-C,E,10,25
2015,TOT,1,"Dyson,S",75,28,4,14.5,18.5,14.5,0,0,7,29,9,15.8,24.8,19.1,0,0,7,4,R(1) C(1),'4-51,0,20,1WR-C,E,10,23
2015,SEA,26,"Elias,R*",115,45,9,13.5,22.5,19.8,0,0,3,16,12,12.8,24.8,25.8,2.8,5,7,1,S(6) R(3),'3-13,3,1,1WL-C,E,10,18
2015,NYA,19,"Eovaldi,N",154,16,9,30.3,39.3,35,0,0,5,19,7,20.7,27.7,22.4,0,0,5,-5,S(5),'3- 0,0,11,1WR-D,E,13,7
2015,TOA,30,"Estrada,M",181,15,6,7.3,13.4,18.6,2.4,4,0,19,11,8.3,19.3,19.6,2,2,0,1,S(6) R(3),'4- 8,0,2,3WR-C,E,10,24
2015,NYN,20,"Familia,J",78,33,10,4.4,14.4,9.7,1.2,1,7,44,1,5.7,6.7,9.7,0.8,1,6,-3,R(1) C(6),'4- 0,0,12,1WR-C,E,10,16
2015,SEA,26,"Farquhar,D",51,36,5,14.1,19.1,31.8,2.4,3,7,18,10,20,30,47.3,4.5,8,4,0,R(2) C(0),'2- 0,7,3,1WR-C,E,13,25
2015,HOA,12,"Feldman,S",108,10,3,20.8,23.8,27.8,0.8,0,12,6,6,25.1,31.1,40.1,3.2,5,13,5,S(6),'3-27,0,17,3WL-C,E,10,6
2015,TOT,1,"Feliz,N",48,11,2,26.6,28.6,34.2,2.2,3,7,28,8,30.5,38.5,55.3,0.8,0,4,0,R(1) C(3),'4- 0,0,18,1WR-C,E,10,17
2015,MMN,16,"Fernandez,J",65,33,3,32.8,35.8,44.3,1.2,3,1,50,4,12.3,16.3,13.9,0,0,5,-4,S(6),'3- 0,0,6,6NR-A,E,10,10
2015,HOA,12,"Fields,J",51,39,7,18.6,25.6,39.1,0,0,0,52,11,8.9,20,12.1,0,0,0,0,R(1),'3- 0,0,4,1WR-C,E,10,10
2015,MNA,18,"Fien,C",63,3,0,24.6,24.6,38.8,1,0,0,20,0,12.6,12.6,19.5,2,2,0,0,R(1),'3- 0,0,0,1WR-C,E,10,23
2015,TOT,1,"Fiers,M",180,28,6,11.6,17.6,22.2,2,3,1,29,12,15.2,27.2,30.4,2.4,3,1,0,S(6),'3-31,0,9,1WR-B,E,12,18
2015,WAN,31,"Fister,D",103,6,2,19.4,21.4,30.3,2.8,5,5,13,4,32.8,36.8,49.9,2.4,4,4,-2,S(6) R(3) C(0),'2-42,0,1,4WL-A,E,14,13
2015,CON,10,"Flande,Y*",68,1,16,17.1,33.1,36.1,2.2,3,12,12,6,20.4,26.4,46.2,5.3,7,12,-3,S(5) R(3),'3-21,6,2,2WL-D,E,10,25
2015,ATN,3,"Foltynewicz,M",87,16,6,31.4,37.4,57.5,4.1,7,3,20,11,26.3,37.3,43,3.8,6,3,1,S(5) R(3),'5-16,4,6,1WR-D,E,10,23
2015,TOT,1,"Frasor,J",28,3,10,30.7,40.7,48.1,0,0,11,30,28,8.6,36.7,8.6,0,0,6,3,R(1),'3- 0,0,15,1WR-C,E,10,25
2015,TEA,29,"Freeman,S*",38,23,31,10.5,41.5,18.9,2.8,4,0,34,18,7,25,12.4,0.2,0*,0,3,R(1),'3- 0,0,0,1WR-C,E,14,7
2015,LAN,15,"Frias,C",78,0,12,35,47,43.3,0,0,11,10,7,20.9,27.9,25.7,1.6,4,11,-2,S(5) R(3),'4- 0,0,8,1WR-D,E,10,16
2015,CON,10,"Friedrich,C*",58,16,8,23.2,31.2,26.2,1,1,7,12,14,36.5,50.5,51.5,1.2,1,5,-4,R(1),'4- 0,0,10,1WR-C,E,10,25
2015,SEA,26,"Furbush,C*",22,34,3,0,3,0,0,0*,0,14,0,7.2,7.2,23,5,8*,0,1,R(1),'3-51,0,20,1WL-C,E,10,25
2015,TEA,29,"Gallardo,Y",184,11,11,15.9,26.9,26.9,1.4,1,7,11,10,16.1,26,20,0,0,7,-1,S(5),'3- 8,0,11,4WR-D,E,13,7
2015,SDN,24,"Garces,F*",38,22,27,8.1,35,20.8,4.3,8,7,8,12,24.5,36.5,51.7,7.3,8,4,-2,R(1),'2- 0,0,16,1WL-C,E,10,25
2015,STN,27,"Garcia,J*",130,20,3,20.1,23.1,20.1,0,0,12,18,5,11.9,17,15.1,0,0,12,-1,S(6),'2-23,0,7,1WL-D,E,14,4
2015,PHN,22,"Garcia,L",67,21,10,30.2,40.2,37.5,0.4,0,7,26,17,16.4,33.3,24.1,0,0,8,1,R(1) C(1),'4- 0,5,19,1WR-C,E,10,25
2015,LAN,15,"Garcia,Y",57,41,1,6.3,7.3,17.1,3.6,6,0,45,2,10.7,12.7,18,2.2,4,0,0,R(1) C(0),'3- 0,0,3,1WR-C,E,10,13
2015,MLN,17,"Garza,M",149,10,10,24.3,34.3,40.6,2.6,3,4,14,9,21.8,30.8,36.4,2.8,4,4,-1,S(6),'4-10,0,9,1WR-A,E,12,14
2015,BAA,4,"Gausman,K",112,35,6,13.9,19.9,26.3,1.4,0,0,17,3,21.6,24.6,45,4.5,8,0,0,S(6) R(3),'2-13,0,14,1WL-C,E,10,7
2015,TBA,28,"Geltz,S",67,39,22,3.5,25.5,6.7,0.4,0,4,19,2,6.3,8.3,16.5,3.4,6,4,5,R(1) C(1),'3- 0,0,14,1WR-C,E,10,11
2015,TOT,1,"Germen,G",39,14,23,12.8,35.8,26.2,1.8,2,12,22,20,22.5,42.5,39.3,1,1,6,0,R(2) C(0),'3- 0,0,16,1WR-C,E,10,25
2015,MNA,18,"Gibson,K",195,16,10,14.8,24.8,24.6,0.8,1,11,19,6,17.5,23.5,27.1,1.8,2,11,-2,S(6*),'2- 7,0,7,1WR-D,E,10,3
2015,PHN,22,"Giles,K",70,29,8,12.1,20.1,12.1,0,0,0,50,10,12.1,22.1,17,0,0,0,-2,R(1) C(4),'4-21,0,2,1WR-C,E,10,20
2015,NYN,20,"Gilmartin,S*",57,28,6,20.3,26.3,26.5,0,0,10,28,2,11.3,13.3,19.6,0,0,10,-2,R(2),'4- 0,0,3,3WL-C,E,10,19
2015,NYN,20,"Goeddel,E",33,28,7,5.3,12.3,9.4,0,0*,2,40,3,10.9,13.9,19.8,0,0,2,7,R(2),'4- 0,0,14,1WR-C,E,10,15
2015,TBA,28,"Gomes,B",59,15,9,11,20,22.7,1.6,2,0,22,0,22.6,22.6,44.5,5.5,8,0,-2,R(1) C(0),'4- 0,7,15,1WR-C,E,10,25
2015,PHN,22,"Gomez,J",75,11,1,21.1,22.1,34,0.2,0,4,14,2,29.8,31.8,33.9,0,0,4,0,R(2),'2- 0,0,8,1WR-C,E,10,22
2015,TEA,29,"Gonzalez,C",67,1,15,10.1,25.1,18.4,0,0,5,1,18,4.4,22.4,13,2.2,4*,5,-3,S(6) R(3) C(0),'3- 0,6,6,1WR-C,E,10,3
2015,WAN,31,"Gonzalez,G*",176,11,4,21.1,25.1,29.9,0,0,4,30,13,19.5,32.5,27.7,0,0,4,1,S(6),'2- 0,0,4,1WR-A,E,10,12
2015,BAA,4,"Gonzalez,M",145,19,6,21.5,27.5,40.6,4,4,8,15,12,17.8,29.8,28.4,2.2,4,8,-1,S(6),'3- 0,0,5,1WR-C,E,10,21
2015,DEA,11,"Gorzelanny,T*",39,30,16,16.7,32.7,25.8,1.8,3,3,15,20,29.8,49.8,61.5,1.2,1,4,7,R(1),'3- 0,0,4,1WR-C,E,10,25
2015,LAA,14,"Gott,T",48,15,17,20.4,37.4,24,0,0,0,2,0,12.9,12.9,16.1,0,0,2,-2,R(1),'2- 0,0,4,1WR-C,E,10,3
2015,MNA,18,"Graham,J",64,18,7,19.8,26.8,33.6,2.6,4,5,21,10,23,33,36.5,3.2,5,5,3,R(2),'3- 0,5,17,1WR-C,E,10,18
2015,OAA,21,"Graveman,K",116,10,12,20.9,32.9,24.3,0.2,0,5,12,5,20.5,25.5,38.7,3.8,7,5,0,S(6),'2-24,0,7,1WR-C,E,10,11
2015,OAA,21,"Gray,S",208,26,9,7.1,16.1,9.9,0.6,1,8,18,5,10.6,15.6,13.4,0.8,2,9,0,S(6*),'2- 0,0,15,1WR-C,E,10,15
2015,DEA,11,"Greene,S",84,5,4,42.2,46.2,72.7,1.8,2,8,12,9,15.1,24.2,32.7,4.5,7,8,0,S(5) R(3),'4-35,0,2,1WR-D,E,10,7
2015,HOA,12,"Gregerson,L",61,25,0,18.9,18.9,31.5,0,0,12,42,0,6.8,6.8,14.1,2.4,4,11,0,R(1) C(6),'3- 0,0,3,1WL-C,E,10,24
