Year,TM,real_team_id,HITTERS,INJ,AB,SO vlhp,BB v lhp,HIT v lhp,OB v lhp,TB v lhp,HR v lhp,BP v lhp,CL v lhp,DP v lhp,SO v rhp,BB v rhp,HIT v rhp,OB v rhp,TB v rhp,HR v rhp,BP v rhp,CL v rhp,DP v rhp,STEALING,STL,SPD,B,H,CA,1B,2B,3B,SS,LF,CF,RF,FIELDING,rml_team_id
2015,TB,28,"Beckham,T",,203,42,1,15.8,19.8,37.1,3.7,7,8,11,49,9,9.8,21.9,23.9,3,5,8,8,*7/- (17-6),C,13,D,D,,,334,435,414,,,,2b-3e34 ss-4e14 3b-4e35,4
2015,SF,25,"Belt,B*",,492,36,13,20.9,35.9,40.8,3.3,7,-2,8,35,12,24.1,38.2,40.6,2.3,5,-2,9,*6/- (17-6),C,13,D,D,,104,,,,525,,,1b-1e4 lf-5(0)e25,27
2015,NY(A),19,"Beltran,C+",,478,15,3,21.6,25.6,38.8,2.3,3,-4,22,13,12,24.9,37.9,41.1,2.7,4,-3,20,-/- (---),E,10,D,C,,,,,,,,505,rf-5(0)e5,21
2015,TEX,29,"Beltre,A",,567,2,13,28.5,42.5,49.2,4,7,-5,20,0,2,28.2,31.2,37.4,0.8,1,-5,26,2/- (20-6),E,12,D,C,,,,120,,,,,3b-1e20,1
2015,ATL,3,"Bethancourt,C",,155,26,0,7.3,7.3,10.6,0,w,-2,34,18,0,16,16,24.8,0.8,1,-5,34,"2-5,12/10 (13-6)",E,11,D,D,408,,,,,,,,"c-4(-3)e8,T-14(pb-8)",5
2015,BOS,5,"Betts,M",,597,0,5,30,36,45,2.3,3,11,0,6,9,25.5,35.5,45.2,1.8,2,11,0,"*5,6/- (18-12)",A,16,B,C,,,,,,,206,306,cf-2(-1)e6 rf-3e6,27
2015,NY(A),19,"Bird,G*",,157,42,20,14.6,35.6,25.1,3.5,5,-9,0,41,13,19.4,33.4,48.4,7,8,-3,0,-/- (---),E,10,D,D,,404,,,,,,,1b-4e4,17
2015,COL,10,"Blackmon,C*",,614,10,7,23.4,34.4,33,0.8,1,-3,3,16,5,26.6,35.6,41.2,1.8,2,-3,3,*2-6/- (18-14),AA,16,B,C,,,,,,203,303,203,cf-3(0)e3 lf-2e3 rf-2e3,2
2015,PHI,22,"Blanco,A+",,233,8,5,38.8,46.8,64.2,2.7,2,-6,29,19,11,21.7,35.7,42.5,1.5,1,-4,24,6/12 (13-5),E,13,B,C,,425,320,217,322,,,,3b-2e17 2b-3e20 ss-3e22 1b-4e25,25
2015,SF,25,"Blanco,G*",,327,20,6,29.6,36.5,38.3,0.3,1,-14,10,11,12,28.4,41.4,36.2,0,0,-13,9,"*2-5,11,12/- (16-12)",B,15,B,C,,,,,,106,206,206,cf-2(-1)e6 lf-1e6 rf-2e6,5
2015,BOS,5,"Bogaerts,X",,613,7,11,40.7,52.7,53.9,2.5,w,6,19,12,0,33.2,34.2,48.1,2.4,w,6,22,*4/- (19-6),B,14,B,C,,,,,212,,,,ss-2e12,12
2015,MIA,16,"Bour,J*",,409,40,10,15.2,26.2,21.8,0,w,0,29,26,6,21.5,28.5,47.6,7.6,8,0,32,-/- (---),E,8,D,D,,510,,,,,,,1b-5e10,22
2015,CIN,8,"Bourgeois,J",,196,17,7,14.4,22.5,23.9,1,0,3,5,7,8,21.1,30.1,23.8,0.2,0,3,5,7/- (15-6),C,15,D,C,,,,,,308,308,308,cf-3(0)e8 lf-3e8 rf-3e8,21
2015,STL,27,"Bourjos,P",,195,46,4,9.1,19.1,20.2,3.7,7,-4,5,29,10,11.9,27.9,28.1,1.5,w*,0,4,*2-7/8-12 (15-6),D,16,B,D,,,,,,,203,,cf-2(-1)e3,10
2015,ATL,1,"Bourn,M*",,425,32,17,15.8,32.8,19.4,0,w,3,12,26,11,17.3,28.3,19,0,w,3,13,*4-6/- (17-13),A,16,A,D,,,,,,201,201,301,cf-2(+1)e1 lf-2e1 rf-3e1,7
2015,BOS,5,"Bradley Jr,J*",,221,31,14,19.5,36.5,42.3,2,4,7,19,39,15,17.6,35.6,46.4,5,8*,0,17,3/- (20-6),C,14,D,D,,,,,,102,102,102,rf-1(-3)e2 cf-1e2 lf-1e2,18
2015,CLE,9,"Brantley,M*",,529,0,8,29.6,38.6,43.5,1.4,2,0,26,0,13,31.4,45.3,48.7,1.8,3,0,24,*5/- (19-6),A,14,D,C,,,,,,203,303,,lf-2(-2)e3 cf-3e3,9
2015,MIL,17,"Braun,R",,506,17,18,27.3,47.3,46.7,3.4,5,5,20,21,10,21.9,33.9,39.1,4,5,6,29,"*4,6/- (19-13)",A,15,D,C,,,,,,,,403,rf-4(0)e3,19
2015,PHI,22,"Brown,D*",,189,10,7,19.3,27.3,32.5,0,w,6,11,18,6,13.5,20.5,19.5,2,3,6,11,*7/- (17-6),C,12,D,C,,,,,,,,404,rf-4(-2)e4,25
2015,CIN,8,"Bruce,J*",,580,24,9,17.2,27.2,31.2,1.4,2,-5,21,28,8,13.8,22.8,33,4,5*,0,21,"*2-5,11,12/- (15-11)",C,13,D,D,,,,,,,,203,rf-2(-4)e3,26
2015,CHI(N),7,"Bryant,K",,559,48,19,14.9,37,29.5,3.2,5,-3,8,39,18,22.5,43.5,39.9,3.2,5,-3,9,*7/- (17-6),B,14,D,C,,425,,321,,416,416,416,3b-3e21 lf-4(0)e16 rf-4e16 cf-4e16 1b-4e25,18
2015,OAK,21,"Burns,B+",,520,11,2,34.7,38.7,47.9,2.5,w,1,8,10,1,30.3,33.3,43.3,1.6,w,1,8,*4-6/- (18-13),A,17,C,C,,,,,,,204,,cf-2(+1)e4,21
2015,KC,1,"Butera,D",,107,43,0,19.3,23.3,20.9,0,w,-6,0,20,6,8.1,18.1,15.6,2.5,w,-4,0,2-8/- (3-1),E,9,A,C,204,425,,,,,,,"c-2(-2)e4,T-20(pb-1) 1b-4e25",25
2015,OAK,21,"Butler,B",,538,9,24,10.1,37.1,20.2,1.3,2*,0,25,16,5,25.1,33.1,34.5,1.8,2,-6,31,-/- (---),E,8,D,C,,509,,,,,,,1b-5e9,5
2015,TB,28,"Butler,J",,257,38,1,23.8,26.8,33.2,2.5,5,-11,27,43,8,29.7,39.7,39.5,1.5,2,-10,10,"*4,6/- (16-6)",C,11,D,D,,,,,,407,,407,lf-4(+1)e7 rf-4e7,10
2015,MIN,18,"Buxton,B",,129,58,1,6.2,9.2,10.1,0,w*,0,12,41,2,19.4,23.4,33,1.1,1,-8,12,"*2-7,11,12/9,10 (15-8)",D,17,B,D,,,,,,,203,,cf-2(-2)e3,7
2015,SF,1,"Byrd,M",,506,20,4,23.7,29.7,46.7,3.8,6,-5,18,39,4,17.9,23.9,35.6,3.8,6,-5,20,4/- (13-6),E,12,D,D,,,,,,300,400,300,lf-3(-1)e0 rf-3e0 cf-4e0,26
2015,TB,28,"Cabrera,A+",,505,12,0,30.5,31.5,42.8,0.5,1,-13,23,25,8,23.1,32.1,36.5,2.3,3,-12,22,"5,6/- (13-6)",C,13,D,C,,,,,212,,,,ss-2e12,6
2015,DET,11,"Cabrera,M",,429,6,33,21.9,56.9,38.4,4.4,8,-5,21,14,17,35.6,54.6,50.6,2.4,4,-7,22,3/- (13-5),E,10,D,C,,206,,,,,,,1b-2e6,23
2015,CHI(A),6,"Cabrera,M+",,629,12,0,19.6,20.6,33.5,2.5,w,9,24,5,5,28.6,34.6,37.4,1,1,9,23,2/- (20-6),D,13,D,C,,,,,,305,,,lf-3(-3)e5,16
2015,KC,13,"Cain,L",,551,8,2,35.3,42.3,59.7,2.7,5,1,23,15,6,27.8,38.8,37.5,1,2,1,23,*2-5/- (19-13),A,17,D,D,,,,,,,112,112,cf-1(-2)e12 rf-1e12,11
2015,LA(A),14,"Calhoun,K*",,630,32,9,13.3,24.4,23.3,3,6,3,11,28,4,23.5,29.5,35.5,3,6,4,11,3/- (16-6),D,13,D,D,,430,,,,,,204,rf-2(-4)e4 1b-4e30,6
2015,LA(N),1,"Callaspo,A+",,230,23,7,2.6,9.6,2.6,0,w*,0,27,5,15,19,34,22.4,1,w,4,25,-/- (---),E,11,D,B,,,417,316,,,,,3b-3e16 2b-4e17,2
2015,NY(N),20,"Campbell,E",,173,12,27,4.2,36.2,11.6,1.6,1*,0,23,16,18,10.1,33.2,20.6,2.3,w,-2,25,*3-7/- (15-12),B,11,D,C,,408,,432,,403,,,3b-4e32 1b-4e8 lf-4(+2)e3,25
2015,OAK,21,"Canha,M",,441,19,5,13.6,22.6,15.9,0.3,1,7,18,21,9,21.5,34.5,41,3.3,6,6,17,*5/- (18-6),C,13,D,C,,411,,537,,407,,407,1b-4e11 lf-4(+1)e7 rf-4e7 3b-5e37,6
2015,SEA,26,"Cano,R*",,624,15,2,27.1,30.1,36.7,3.2,6,-7,30,12,5,31.2,37.2,46,1.8,3,-7,33,"4,5/9-12 (13-1)",D,13,D,B,,,306,,,,,,2b-3e6,11
2015,STL,27,"Carpenter,M*",,574,29,15,13.2,30.2,31.4,3.8,6,4,3,26,17,21.9,40.8,43.7,3.8,7,4,3,"4,5/12 (13-6)",D,12,D,C,,413,413,316,,,,,3b-3e16 2b-4e13 1b-4e13,12
2015,TOR,30,"Carrera,E*",,172,46,0,29.5,31.5,36.6,1.8,1,6,8,27,5,25.7,32.7,31.1,0.5,0,6,8,"4,5/- (13-6)",D,14,A,D,,,,,,406,406,406,lf-4(+1)e6 rf-4e6 cf-4e6,25
2015,HOU,12,"Carter,C",,391,47,20,7.1,30.1,21.8,3.8,6*,0,8,51,18,6.8,27.8,22,4.4,8*,0,11,7/8 (13-3),E,11,D,D,,413,,,,,,,1b-4e13,12
2015,TB,28,"Casali,C",,101,34,0,17.6,21.6,61.1,14.5,8,-1,14,46,12,16.1,32.1,56.7,12.3,8*,0,12,-/- (---),E,8,D,D,304,,,,,,,,"c-3(+1)e4,T-1(pb-0)",2
2015,DET,11,"Castellanos,N",,549,30,9,30.6,39.6,50.4,3,6,12,16,34,6,17.4,23.4,30.9,1.3,1,12,28,3-6/- (3-1),E,9,D,C,,,,415,,,,,3b-4e15,17
2015,BOS,5,"Castillo,R",,273,13,1,28.6,30.6,41.2,1,1,8,30,20,3,17.8,21.8,19.5,0.2,0,8,28,"*2-6,11,12/8,9 (15-6)",D,13,D,C,,,,,,212,312,312,rf-3(-2)e12 lf-2e12 cf-3e12,22
2015,ARIZ,1,"Castillo,W",,342,42,10,16.2,30.2,35.9,6.2,8,-7,14,24,5,15.2,24.2,32.8,4.4,8,-4,26,-/- (---),E,10,D,D,304,,,,,,,,"c-3(-1)e4,T-16(pb-3)",22
2015,HOU,12,"Castro,J*",,337,49,6,12.1,19,23,2,w,-3,13,42,12,12.5,25.5,27.4,3,4,-1,13,-/- (---),E,10,D,D,201,,,,,,,,"c-2(-1)e1,T-1(pb-2)",12
2015,CHI(N),7,"Castro,S",,547,10,0,29,31,35.6,0,w,1,25,11,0,23.9,25.9,31.8,1.5,2,1,24,4-6/10 (13-6),D,13,D,B,,,334,,328,,,,ss-3e28 2b-3e34,22
2015,PIT,23,"Cervelli,F",,451,18,16,30.1,50.1,40.9,0.4,1,-12,19,16,11,29.1,44.1,33.3,0,0,-12,17,3/12 (13-5),E,10,C,C,302,,,,,,,,"c-3(+1)e2,T-6(pb-2)",19
2015,NY(N),1,"Cespedes,Y",,633,35,10,13.7,25.8,29.4,4.6,8,-6,16,18,0,31.5,33.5,59.3,4.8,8,-6,20,"*5,6/12 (15-11)",C,15,D,D,,,,,,108,308,,lf-1(-5)e8 cf-3e8,15
2015,TEX,29,"Chirinos,R",,233,29,12,19.4,35.4,39.3,3.4,6,-3,16,27,17,12.3,33.3,28.5,2.6,4*,0,16,-/- (---),E,10,B,C,306,,,,,,,,"c-3(-1)e6,T-11(pb-1)",10
2015,CLE,9,"Chisenhall,L*",,333,6,9,18.3,28.3,22.3,0.8,1,9,1,24,2,19.6,22.6,29.5,1,1,10,1,5/- (16-6),C,12,D,C,,,,418,,,,204,3b-4e18 rf-2(-1)e4,20
2015,TEX,29,"Choo,S*",,555,23,14,16.9,35.8,25.3,1.5,3,-6,8,26,19,24.5,48.5,41.7,3.3,5,-5,6,5/- (13-6),D,14,D,D,,,,,,,,306,rf-3(-1)e6,16
2015,ATL,3,"Ciriaco,P",,142,44,0,21.8,24.8,25.8,0,w,-7,3,26,0,27.7,30.7,43.9,2,w,-7,3,"*2-7,11/- (15-13)",C,15,C,C,,425,318,314,336,416,,,3b-3e14 ss-3e36 2b-3e18 1b-4e25 lf-4(+2)e16,26
2015,BAL,4,"Clevenger,S*",,101,2,0,24,24,24,0,w,-2,30,5,0,32,32,47.6,1.5,0,-2,30,-/- (---),E,9,D,D,303,430,,,,,,,"c-3(+1)e3,T-3(pb-7) 1b-4e30",3
2015,CHI(N),7,"Coghlan,C*",,440,25,10,0,12,0,0,w*,0,18,19,14,19.2,35.2,37,2.8,4,-7,17,*6/- (19-11),B,14,D,C,,425,419,456,,300,,400,lf-3(0)e0 rf-4e0 2b-4e19 1b-4e25 3b-4e56,4
2015,TOR,30,"Colabello,C",,333,34,9,27.4,38.5,50.1,7.2,8,-4,12,35,4,37.3,43.3,52.5,2.3,2,-4,14,2/- (20-6),E,11,D,D,,406,,,,512,,512,lf-5(+1)e12 1b-4e6 rf-5e12,22
2015,DET,11,"Collins,T*",,192,5,0,23.8,24.8,33.5,0,w,6,12,24,6,24,31,38.1,1,1,6,11,"4,5/- (13-6)",D,12,D,C,,,,,,316,,316,lf-3(+1)e16 rf-3e16,19
2015,KC,13,"Colon,C",,107,6,8,37.9,45.9,37.9,0,w,-10,24,10,15,24,39,29.6,0,w,-9,23,*2-6/12 (15-10),C,13,D,C,,,308,459,331,,,,ss-3e31 2b-3e8 3b-4e59,15
2015,NY(N),20,"Conforto,M*",,174,19,6,17,24,17,0,w,-8,17,24,10,21.2,32.2,44.4,4,7,-3,16,3-6/- (3-1),E,11,D,C,,,,,,403,,,lf-4(0)e3,17
2015,HOU,12,"Conger,H+",,201,44,13,7.5,22.6,19.2,2.4,4*,0,19,34,13,18.8,33.8,40.6,5.4,8,-3,20,4-6/- (3-1),E,9,D,D,301,,,,,525,,,"c-3(+4)e1,T-11(pb-0) lf-5(+2)e25",19
2015,TEX,29,"Corporan,C+",,107,44,0,13.8,21.9,21.5,1.5,2,6,4,53,5,3.8,16.9,10.2,1.6,2*,0,4,-/- (---),E,9,C,C,301,,,,,,,,"c-3(0)e1,T-15(pb-3)",10
2015,HOU,12,"Correa,C",,387,12,12,20.5,32.5,47.2,6.6,8,-3,21,20,12,24.8,36.8,41.3,3.6,5,-3,21,"*5,6/- (18-12)",B,14,D,C,,,,,222,,,,ss-2e22,26
2015,CIN,8,"Cozart,Z",,194,0,5,30.1,37.1,51.1,6,8,-10,14,11,7,18.4,27.4,34.4,3,5,-7,16,*3-7/10-12 (15-7),C,14,C,C,,,,,110,,,,ss-1e10,10
2015,SF,25,"Crawford,B*",,507,31,0,22.5,27.5,40.4,2.4,4,6,32,22,4,17.6,26.6,37,3.8,8,6,26,"*5,6/12 (15-9)",C,14,D,C,,,,,116,,,,ss-1e16,2
2015,LA(N),15,"Crawford,C*",,181,19,7,32.1,39.1,34.6,0,w,-10,16,26,0,25.3,25.3,37.4,1.3,2,-11,18,"*2-5,12/- (19-13)",A,15,D,D,,,,,,306,,,lf-3(+1)e6,14
2015,OAK,21,"Crisp,C+",,126,9,7,11.1,18.1,20.9,0,w,0,22,21,14,4.1,18.1,5.3,0,w,-1,20,3/- (20-6),D,14,D,C,,,,,,304,,,lf-3(+2)e4,25
2015,LA(A),14,"Cron,C",,378,13,0,23.6,26.6,32.7,1.5,1,0,20,26,3,22,28,39.3,4.3,8,0,21,5/- (15-6),D,10,D,C,,419,,,,,,,1b-4e19,2
2015,SEA,26,"Cruz,N",,590,23,10,39.8,51.8,75.3,9.8,8,-15,9,29,9,25.8,36.8,49.3,7.5,8,-14,11,5/- (13-6),D,11,D,D,,,,,,,,408,rf-4(-1)e8,1
2015,STL,27,"Cruz,T",,142,28,14,16.8,30.8,18.5,0,w,-9,31,21,0,12.9,12.9,23.1,0.8,0,-4,34,-/- (---),E,10,D,B,303,,,437,,,,,"c-3(0)e3,T-3(pb-0) 3b-4e37",10
2015,NY(N),20,"Cuddyer,M",,379,18,13,24.6,39.6,32,1.8,w,-7,23,25,3,23.3,28.3,35.3,2.2,3,-8,26,2/- (20-6),E,11,D,D,,407,,,,407,,407,lf-4(0)e7 1b-4e7 rf-4e7,20
2015,NY(N),20,"D'Arnaud,T",,239,2,20,20.8,43.8,43.5,5.4,8,1,17,20,9,21,33,37.4,3.3,6,1,20,-/- (---),E,11,D,C,302,,,,,,,,"c-3(0)e2,T-7(pb-0)",14
2015,BAL,4,"Davis,C*",,573,54,9,21.3,33.3,36.3,4,6,-7,8,42,21,15.7,39.7,48.9,9.2,8*,0,11,5/11 (13-3),E,11,C,D,,205,,,,,,403,1b-2e5 rf-4(-1)e3,1
2015,OAK,21,"Davis,I*",,214,8,0,16.1,16.1,28.3,0,w,5,19,19,14,16.5,30.5,34.5,2.8,w,4,16,-/- (---),E,9,D,D,,311,,,,,,,1b-3e11,25
2015,MIL,17,"Davis,K",,392,39,16,10.5,26.5,27.8,4.5,6*,0,17,35,14,18,32,42.5,6.9,8,-6,15,*6/- (17-6),C,13,D,D,,,,,,408,,,lf-4(+3)e8,18
2015,DET,11,"Davis,R",,341,34,6,18.4,26.4,40.5,2.5,4,-6,16,14,5,26.5,33.5,43,0,0,-13,16,"*2-6,11/- (17-14)",B,16,D,C,,,,,,305,305,405,cf-3(0)e5 lf-3e5 rf-4e5,1
2015,SF,1,"De Aza,A*",,325,48,6,2.8,11.8,5.2,0,w,0,13,26,9,24.1,36.2,40.8,1,2,-1,13,*2-6/11 (15-12),C,14,C,C,,,,,,304,404,304,lf-3(0)e4 rf-3e4 cf-4e4,3
2015,CIN,8,"De Jesus,I",,201,33,6,22.3,29.3,35.6,2.8,3,4,10,28,14,17.3,32.3,26.6,0.2,0,4,9,"2-7,11/- (3-1)",E,13,D,D,,408,308,417,456,424,,,lf-4(0)e24 2b-3e8 ss-4e56 3b-4e17 1b-4e8,26
2015,LA(A),1,"Dejesus,D*",,288,13,0,0,4,0,0,w*,0,19,15,6,18.9,28.9,22.1,0.4,0,1,18,"4,5/12 (13-6)",C,12,D,C,,,,,,303,403,403,lf-3(0)e3 cf-4e3 rf-4e3,25
2015,CHI(N),7,"Denorfia,C",,212,40,12,17.8,30.8,29.4,0,w,-6,23,23,2,31.3,34.3,38.6,1.3,1,-10,28,"2-5,12/- (3-1)",E,11,D,C,,,,,,203,303,203,lf-2(-2)e3 rf-2e3 cf-3e3,16
2015,COL,10,"Descalso,D*",,185,15,9,4.7,13.7,8.4,0,w,0,19,29,6,10.8,16.8,19.2,1.8,2,-2,20,"2-5,11,12/8-10 (13-4)",E,12,B,C,,420,344,308,433,,,,ss-4e33 2b-3e44 1b-4e20 3b-3e8,25
2015,TEX,29,"Deshields,D",,425,31,14,24,40,40.3,1.3,w,8,0,18,17,17.9,36.9,32.1,0.8,w,8,0,"*2-5,11,12/- (18-13)",A,17,A,D,,,441,,,309,309,,cf-3(+1)e9 lf-3e9 2b-4e41,20
2015,WASH,31,"Desmond,I",,583,29,13,16,30,31.8,3.3,6,-5,11,42,7,16.6,24.6,27,2.3,3,-9,12,*2-5/- (16-11),B,16,B,D,,,,,329,,,,ss-3e29,15
2015,COL,10,"Dickerson,C*",,224,44,3,25.6,28.6,39.2,0,w,7,15,25,0,29.3,29.3,58.1,5,7,7,18,"2-5,12/- (3-1)",E,11,D,D,,,,,,405,405,,lf-4(+2)e5 cf-4e5,22
2015,MIA,16,"Dietrich,D*",,250,52,1,6.5,18.5,11.3,1.6,3,-3,11,22,9,19.9,39.8,39.7,3,6,-6,9,3-7/- (3-1),E,12,D,D,,424,405,429,,508,,,lf-5(+2)e8 3b-4e29 2b-4e5 1b-4e24,1
2015,TOR,30,"Donaldson,J",,620,15,20,21.6,43.6,53.8,6.2,8,2,15,19,14,23.9,39.9,45.4,5,7,8,17,2/- (20-6),D,13,C,C,,,,120,,,,,3b-1e20,13
2015,MIN,18,"Dozier,B",,628,17,14,13.2,29.2,32.5,2.8,4,0,14,25,10,16.4,28.3,33.8,3.6,6,-5,15,"*4,5/- (17-11)",B,15,D,C,,,208,,,,,,2b-2e8,12
2015,NY(A),19,"Drew,S*",,383,24,7,10.9,18.9,25.7,2.7,3,0,17,12,11,8.7,20.7,21.5,3.7,4,-2,15,2-6/- (3-1),E,12,C,D,,,211,437,433,,,,2b-2e11 ss-4e33 3b-4e37,1
2015,NY(N),20,"Duda,L*",,471,43,3,18.9,27.9,45.9,5.2,8*,0,21,30,18,12.2,36.2,29.8,3.8,6,0,16,2-5/- (3-1),E,10,D,D,,304,,,,,,,1b-3e4,11
2015,SF,25,"Duffy,M",,573,4,2,20.3,24.3,24.1,0.8,2,13,33,13,4,32.5,38.5,44.8,0.8,2,12,31,*4/- (20-6),B,15,D,B,,430,322,215,488,,,,3b-2e15 2b-3e22 ss-4e88 1b-4e30,4
2015,KC,13,"Dyson,J*",,200,19,8,16.6,28.6,22.8,0,w,-8,9,14,5,23,32,44.9,2.4,w,-9,10,*2-7/- (20-16),A,17,A,C,,,,,,205,105,305,cf-1(-2)e5 lf-2e5 rf-3e5,23
2015,CHI(A),6,"Eaton,A*",,610,16,2,27.7,34.7,32.2,0,w,-6,6,21,12,28,45,42.8,2.1,2,-5,5,"*2-5,12/- (16-12)",B,15,B,C,,,,,,,406,,cf-4(0)e6,12
